question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
"Find the fraction that represents the number of natural numbers to total numbers in the collection 0, 1, 2, 3, 4, 5. What fraction will it be for whole numbers?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536348738475.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536349463665.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536350185324.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536350925942.png""/>
Total numbers we have 0, 1, 2, 3, 4, 5 which is 6 numbers

As we know Natural numbers start from 1

total natural numbers in the collection = 5 (1, 2, 3, 4, 5)

Hence the fraction will be


As we know Whole number starts from 0

total whole numbers in the collection = 6 (0, 1, 2, 3, 4, 5)

Hence the fraction will be",Q. 125,exercise,https://school.gradeup.co/ex-4-q1-the-fraction-which-is-not-equal-to-4-5-isa-40-50-b-i-1nkl6j,4. Fractions and Decimals,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Write the fraction representing the total number of natural numbers in the collection of numbers –3, – 2, –1, 0, 1, 2, 3. What fraction will it be for whole numbers? What fraction will it be for integers?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/15305363516437100.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536352364415.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536353126958.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053635383548.png""/>
-3, -2, -1, 0, 1, 2, 3

There are 7 numbers

As we know Natural numbers start from 1

total natural numbers in the collection = 3 (1, 2, 3)

Hence the fraction will be


As we know Whole number starts from 0

total whole numbers in the collection = 4 (0, 1, 2, 3, 4, 5)

Hence the fraction will be",Q. 126,exercise,https://school.gradeup.co/ex-4-q1-the-fraction-which-is-not-equal-to-4-5-isa-40-50-b-i-1nkl6j,4. Fractions and Decimals,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536354548342.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536355277593.png""/>
Write a pair of fractions whose sum is and difference is .",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536356088529.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053635681799.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536357538187.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536358299525.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536359037344.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536359869870.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053636061781.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536361354495.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536362082962.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536362837645.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053636350228.png""/>
Let the two numbers be x and y

Now sum of two numbers will be

…eqn 1

Difference of two numbers will be

…eqn 2

Now subtracting equation 2 from 1 we get





Now substituting in eqn 1

We get



22x + 5 = 14

22x = 14 – 5",Q. 127,exercise,https://school.gradeup.co/ex-4-q1-the-fraction-which-is-not-equal-to-4-5-isa-40-50-b-i-1nkl6j,4. Fractions and Decimals,maths,Grade 6,NCERT Exemplar Class 6 Maths
What fraction of a straight angle is a right angle?,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053636423365.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536364921248.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536365641151.png""/>
A right angle is 90°

A straight line is 180°

Now fraction of right angle to straight line",Q. 128,exercise,https://school.gradeup.co/ex-4-q1-the-fraction-which-is-not-equal-to-4-5-isa-40-50-b-i-1nkl6j,4. Fractions and Decimals,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053636645257.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536367181352.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536367909590.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536368618219.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536369348376.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536370053521.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536370758468.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536371503851.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536372272777.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053637297983.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536373780484.png""/>
Put the right card in the right bag.

Cards

(i)

(iii)

(iv)

(v)

(vi)

(vii)

(viii)

(ix)

(x)

Bags",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053637477377.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536375514488.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053637622441.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/153053637699624.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536377722629.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536378427534.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536379144744.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536379876628.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536380576720.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18451/1530536381300360.png""/>
in Bag I, as the fraction is less than 1 that is numerator is smaller than denominator which is a proper fraction.

in Bag II, as the fraction is equal to 1that is both numerator and denominator are same resulting as 1.

in Bag III, as the fraction is greater than 1 that is numerator is greater than denominator which is improper fraction.

in Bag I, as the fraction is less than 1 that is numerator is smaller than denominator which is a proper fraction.

in Bag I, as the fraction is less than 1 that is numerator is smaller than denominator which is a proper fraction.

in Bag I, as the fraction is less than 1 that is numerator is smaller than denominator which is a proper fraction.

in Bag II, as the fraction is equal to 1that is both numerator and denominator are same resulting as 1.

in Bag I, as the fraction is less than 1 that is numerator is smaller than denominator which is a proper fraction.

in Bag I, as the fraction is less than 1 that is numerator is smaller than denominator which is a proper fraction.

in Bag I, as the fraction is less than 1 that is numerator is smaller than denominator which is a proper fraction.",Q. 129,exercise,https://school.gradeup.co/ex-4-q1-the-fraction-which-is-not-equal-to-4-5-isa-40-50-b-i-1nkl6j,4. Fractions and Decimals,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052310326151.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523104032334.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523104762618.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523105473330.png""/>
Using tally marks, which one of the following represents the number eight:
",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523106183984.png""/>
We know that 8 = 5 + 3 5 is represented by

3 is represented by",Q. 1,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The marks (out of 10) obtained by 28 students in a Mathematics test are listed as below:

8, 1, 2, 6, 5, 5, 5, 0, 1, 9, 7, 8, 0, 5, 8, 3, 0, 8, 10, 10, 3, 4, 8, 7, 8, 9,2, 0

The number of students who obtained marks more than or equal to5 is
","A. 13

B. 15

C. 16

D. 17","<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523107619831.png""/>
In order to find out how many students obtained marks more than or equal to 5, we will arrange the given data in a table, using tally marks.


number of students who obtained marks more than or equal to 5 is

4 + 1 + 2 + 6 + 2 + 2


So 17 students have obtained marks more than or equal to 5.",Q. 2,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In question 2 above, the number of students who scored marks less than 4 is
","A. 15

B. 13

C. 12

D. 10","From the table of question 2 we can calculate the number of students who scored marks less than 4 marks.

numberofstudentswhoscoredmarkslessthan4is

4 + 2 + 2 + 2


So 10 students have obtained marks less than 4.",Q. 3,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The choices of the fruits of 42 students in a class are as follows:
A , O , B , M , A , G , B , G , A , G ,

B , M , A , G , M , A , B , G , M , B ,

A , O , M , O , G , B , O , M , G , A ,

A , B , M , O , M , G , B , A , M , O , M , O,

where A, B, G, M and O stand for the fruits Apple, Banana, Grapes, Mango and Orange respectively.

Which two fruits are liked by an equal number of students?
","A. A and M

B. M and B

C. B and O

D. B and G","<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052310833774.png""/>
We can see that banana and grapes are liked by equal number of students i.e. 8 students.",Q. 4,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"According to data of question 4, which fruit is liked by most of the students?
","A. O

B. G
C. M
D. A","<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523109047850.png""/>
We can see that 9 students like apple,

8 students like banana and grapes, 10 students like mango and 7 students like orange.

So mango is liked my most students.",Q. 5,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In a bar graph, the width of bars may be unequal.",NA,"False
In a bar graph, bars of uniform width are drawn horizontally or vertically with equal spacing between them.",Q. 6,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In a bar graph, bars of uniform width are drawn vertically only.",NA,"False
In a bar graph, bars of uniform width are drawn horizontally or vertically.",Q. 7,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In a bar graph, the gap between two consecutive bars may not be the same.",NA,"False
In a bar graph, bars of uniform width are drawn with equal spacing between them.",Q. 8,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In a bar graph, each bar (rectangle) represents only one value of the numerical data.",NA,"True
In a bar graph, each bar(rectangle) represents only one value of the numerical data.",Q. 9,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"To represent the population of different towns using bar graph, it is convenient to take one unit length to represent one person.",NA,"False
We take scale as per the given data.",Q. 10,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
Pictographs and bar graphs are pictorial representations of the numerical data.,NA,"True
Pictographsandbargraphsarepictorialrepresentationsofthenumericaldata.",Q. 11,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523109731710.png""/>
An observation occurring five times in a data is recorded as

, using tally marks.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523110452465.png""/>
False
The numerical data 5 represented as",Q. 12,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523111141584.png""/>
<img src=""https://gs-post-images.grdp.co/2018/7/image011-img1530523851095-81.png-rs-high-webp.png""/>
In a pictograph, if a symbol represents 50 books in a library shelf, then the symbol  represents 25 books.",NA,If a picture of 1 book represents 50 books in a library then picture of 1/2 book will represent 25 books in a library.,Q. 13,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
A _______ is a collection of numbers gathered to give some meaningful information.,NA,A data is a collection of numbers gathered to give some meaningful information.,Q. 14,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
The data can be arranged in a tabular form using _______ marks.,NA,The data can be arranged in a tabular form using tally marks.,Q. 15,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
A _______ represents data through pictures of objects.,NA,A pictograph represents data through pictures of objects.,Q. 16,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In a bar graph, ________ can be drawn horizontally or vertically.",NA,In a bar graph bars can be drawn horizontally or vertically.,Q. 17,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In a bar graph, bars of ________ width can be drawn horizontally or vertically with ________ spacing between them.",NA,"In a bar graph, bars of uniform width can be drawn horizontally or vertically with equal spacing between them.",Q. 18,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
An observation occurring seven times in a data is represented as________ using tally marks.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523111872562.png""/>
An observation occurring seven times in a data is represented as using tally marks:

||",Q. 19,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523112591732.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523112591732.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523112591732.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523112591732.png""/>
In a pictograph, if a symbol represents 20 flowers in a basket then  stands for ________ flowers.",NA,"In a pictograph if a symbol represents 20 flowers, then 3 symbols will represent (20 + 20 + 20) flowers i.e. 60 flowers.",Q. 20,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"On the scale of 1 unit length = 10 crore, the bar of length 6 units will represent ________ crore and of ______ units will represent 75crore.",NA,"Given 1 unit = 10 crore

So 6 units = 10X6

= 60 crore

And 75 crore = 75/10

= 7.5 units",Q. 21,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In an examination, the grades achieved by 30 students of a class are given below. Arrange these grades in a table using tally marks:

B, C, C, E, A, C, B, B, D, D, D, D, B, C, C, C, A, C, B, E, A, D, C, B, E, C, B, E, C, D",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523113307252.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523114043265.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523114758136.png""/>
Tally marks means hash marks. They are in the form of numerals used for counting.

Like 4 is written as means four line

And 5 is written as four lines with cross line.

Now after counting, no of students getting A grade is 3

No of students getting B grade is 7

No of students getting C grade is 10

No of students getting D grade is 6

No of students getting E grade is 4

Now arranging the above data in table using tally marks


Total no of students =30",Q. 22,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The number of two wheelers owned individually by each of 50 families is listed below. Make a table using tally marks.

1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 0, 1, 1, 2, 3, 1, 2, 1, 1, 2, 1, 2, 3, 1, 0, 2, 1, 0, 2, 1, 2, 1, 2, 1, 1, 4, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2, 3, 2, 1, 1

Find the number of families having two or more, two wheelers.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523115484397.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052311619481.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523116940488.png""/>
Tally marks means hash marks. They are in the form of numerals used for counting.

Like 4 is written as means four line

And 5 is written as four lines with cross line.

Now after counting numbers of families having 0 number of two wheelers =3

numbers of families having 1 number of two wheelers =28

numbers of families having 2 number of two wheelers =14

numbers of families having 3 number of two wheelers =4

numbers of families having 4 number of two wheelers =1

Now arranging the above data in table using tally marks :-


Total no of families = 50

From the table no of families having two or more no of wheelers = 14+4+1=19",Q. 23,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The lengths in centimetres (to the nearest centimetre) of 30 carrots are given as follows:

15, 22, 21, 20, 22,15, 15, 20, 20,15, 20, 18,20, 22, 21,20, 21, 18, 21, 18, 20, 18, 21, 18, 22, 20,

15, 21, 18, 20

Arrange the data given above in a table using tally marks and answer the following questions.
A. What is the number of carrots which have length more than 20 cm?

B. Which length of the carrots occur maximum number of times? Minimum number of times?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523117656525.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523118377120.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523119096693.png""/>
Tally marks means hash marks they are in the form of numerals used for counting.

Like 4 is written as means four line

And 5 is written as four lines with cross line.

Now after counting numbers of carrots having length 15cm =5

Numbers of carrots having length 18cm =6

Numbers of carrots having length 20cm =9

Numbers of carrots having length 21cm =6

Numbers of carrots having length 22cm =4

now arranging above in the form of table of tally marks


a) Numbers of carrots having length more than 20cm =6+4 =10cm

b) From the table, maximum number of carrots =9 which occurs at length 20cm and min no carrots =4 which occurs at length 22cm

Hence length of carrots occurring maximum number of time =20cm

And length of carrots occurring minimum number of time =22cm",Q. 24,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Thirty students were interviewed to find out what they want to be in future. Their responses are listed as below:

doctor, engineer, doctor, pilot, officer, doctor, engineer, doctor, pilot, officer, pilot, engineer, officer, pilot, doctor, engineer, pilot, officer, doctor, officer, doctor, pilot, engineer, doctor, pilot, officer, doctor, pilot, doctor, engineer

Arrange the data in a table using tally marks.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523119812180.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052312054241.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523121257339.png""/>
Tally marks means hash marks. They are in the form of numerals used for counting.

Like 4 is written as means four line

And 5 is written as four lines with cross line.

Now after counting numbers of students having future profession as Doctor =10

Numbers of students having future profession as Engineer =6

Numbers of students having future profession as officer =6

Numbers of students having future profession as pilot =8

Arranging them in the form of table using tally marks",Q. 25,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Following are the choices of games of 40 students of Class VI:

football, cricket, football, kho-kho, hockey, cricket, hockey, kho-kho, tennis, tennis, cricket, football, football, hockey, kho-kho, football, cricket, tennis, football, hockey, kho-kho, football, cricket, cricket, football, hockey, kho-kho, tennis, football, hockey, cricket, football, hockey, cricket, football, kho-kho, football, cricket, hockey, football.

a) Arrange the choices of games in a table using tally marks.

b) Which game is liked by most of the students?

c) Which game is liked by minimum number of students?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052312199914.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523122711495.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052312342352.png""/>
Tally marks means hash marks. They are in the form of numerals used for counting.

Like 4 is written as means four line

And 5 is written as four lines with cross line.

a). Arranging the given data in a table using tally marks, as shown below


b). from the table, we can observe that football is liked by most of the students.

c). from the table, we can observe that tennis is liked by minimum no of students.",Q. 26,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523124151883.png""/>
Fill in the blanks in the following table which represents shirt size of 40 students of a school.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052312487386.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523125593393.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052312628617.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052312697995.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523127712223.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523128421591.png""/>
shows four vertical lines and one cross line

means 4+1=5

iii) we know that 8=5+3 it can represented as

means 5+2=7

v) we know that 10=5+5 here 5 is represented by

so 10 is represented by

vi) we know that 7=5+2

here can be represented as",Q. 27,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523129130377.png""/>
Following pictograph represents some surnames of people listed in the telephone directory of a city



Observe the pictograph and answer the following questions:
(a) How many people have surname ‘Roy’?

(b) Which surname appears the maximum number of times in the telephone directory?

(c) Which surname appears the least number of times in the directory?

(d) Which two surnames appear an equal number of times?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523130080344.jpg""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523130790665.jpg""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523131507627.jpg""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523132240245.jpg""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523132960430.jpg""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052313367311.png""/>
Given =100 people

a) No of people having surname Roy=


b) From the pictograph, as 5 hand appears in Patel hence most of the people have surname Patel

c) From the pictograph, we can observe that surname Saikia appears the least number

d) Rao and Roy surname appears an equal number of time as number of hands are same.",Q. 28,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523134383897.png""/>
Students of Class VI in a school were given a task to count the number of articles made of different materials in the school. The information collected by them is represented as follows:



Observe the pictograph and answer the following questions:
(a) Which material is used in maximum number of articles?

(b) Which material is used in minimum number of articles?

(c) Which material is used in exactly half the number of articles as those made up of metal?

(d) What is the total number of articles counted by the students?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523135359952.png""/>
Given that 4 small box = 20

1small box =5


a) From above metal (50 articles) is used in the maximum numbers of articles

b) Glass(20 articles) and wood(20 articles) is used in the minimum number of articles

c) From the above pictograph, we observe that 50 articles were made of metal whereas 25 articles were made of rubber, which is exactly half the number of articles as those made up of metal.

d) Total number articles =articles made of(wood + glass + metal + rubber + plastic)

= 20 + 20 + 50 + 25 + 35 = 150.",Q. 29,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523136085353.png""/>
The number of scouts in a school is depicted by the following pictograph:



Observe the pictograph and answer the following questions:
(a) Which class has the minimum number of scouts?

(b) Which class has the maximum number of scouts?

(c) How many scouts are there in Class VI?

(d) Which class has exactly four times the scouts as that of Class X?

(e) What is the total number of scouts in the Classes VI to X?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523137025461.png""/>
One face =10 scout

Hence from pictograph we can have number of scout in each class as given below:


a) Class X has minimum numbers of scouts i.e 10.

b) Class VIII has maximum numbers of scout i.e 60

c) Number of scouts in class VI=40

d) Number of scouts in class X =10 Number of scouts in class VI =40 (10 x 4=40)

Hence class VI has exactly four times the scouts as that of class X

e) Total number of scouts in classes VI to X = 40 + 20 + 60 + 30 + 10 = 160.",Q. 30,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523137976979.png""/>
A survey was carried out in a certain school to find out the popular school subjects among students of Classes VI to VIII. The data in this regard is displayed as pictograph given below:
A. Which subject is most popular among the students?

B. How many students like Mathematics?

C. Find the number of students who like subjects other than Mathematics and Science.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523138918649.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/1530523139636442.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/153052314034467.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18438/15305231410765.png""/>
(A) Hindi

Subject hindi has the most number of students. It has 4 books and each book represents 50 students. Therefore, 4 books will be 200 students in total which is the maximum among all subjects. So, hindi is the most popular subject among the students.

(B) 175

Mathematics has 3 and a half books and each book represents 50 students. Therefore , 50 3.5 = 175 students in total like mathematics.

(C) 425

Subjects other than maths and science are hindi, english and social studies.

Hindi has 4 books ,each representing 50 students .So, number of students who like hindi = 4 50 = 200.

English has 3 books ,each representing 50 students .So, number of students who like english = 3 50 = 150.

Social Studies has 1.5 books ,each representing 50 students .So, number of students who like social studies = 1.5 50 = 75. Therefore, total number of students who like subjects other than maths and science = 200+150+75 = 425",Q. 31,exercise,https://school.gradeup.co/ex-5-q1-using-tally-marks-which-one-of-the-following-i-1nkkyy,5. Data Handling,maths,Grade 6,NCERT Exemplar Class 6 Maths
