question_text,options,solution_text,question_no,book,grade,subject,path,chapter,exercise
"The distance between Delhi and Mumbai is usually expressed in units of
","A. decametre
B. metre
C. centimetre
D. kilometre
","The distance between two cities like Delhi and Mumbai is large. If it is measured in smaller units like metre or centimetre, then the result will be a large value. So, a bigger unit like kilometre is needed to measure the distance between two cities.
",Q. 1,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/the-distance-between-delhi-and-mumbai-is-usually-expressed-i-1nknch,10. Motion and Measurement of Distances,Multiple Choice Question
"Which of the following does not express a time interval?
","A. A day
B. A second
C. A school period
D. Time of the first bell in the school
","The ‘time interval’ means that it is the difference between two instants of time. The time of the first bell in the school defines a particular instant of time. It is not a difference between two instants of time. Thus, it is not a ‘time interval’.
All other options like a day, a second or a school period describe a period of time. This period of time is called time interval.
",Q. 2,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-does-not-express-a-time-interval-a-a-i-1nknci,10. Motion and Measurement of Distances,Multiple Choice Question
"Fig. 10.1 shows a measuring scale which is usually supplied with a geometry box. Which of the following distance cannot be measured with this scale by using it only once?
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460798041780.jpg""/></p>
","A. 0.1 m
B. 0.15 m
C. 0.2 m
D. 0.05 m
","The length of the measuring scale is 15 cm or 0.15 m.
Formula used:
1 m = 100 cm
The given distances in cm are:
(a) 0.1 m = 0.1×100 = 10 cm
(b) 0.15 m = 0.15×100 = 15 cm
(c ) 0.2 m = 0.2×100 = 20 cm
(d) 0.05 m = 0.05×100 = 5 cm
Tip:
To measure a distance using any scale only once, the distance should be less than or equal to the length of the scale.
The options (a),(b) and (d) are less than or equal to 15 cm. So, they can be measured using the given scale.
But (c) is 0.2 m(20 cm) which is bigger than 15 cm. So, it cannot be measured using the scale only once.
",Q. 3,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/fig-10-1-shows-a-measuring-scale-which-is-usually-supplied-i-1nkncj,10. Motion and Measurement of Distances,Multiple Choice Question
"A piece of ribbon folded five times is placed along a 30 cm long measuring scale as shown in Fig. 10.2.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/153146079889146.jpg""/></p>
The length of the ribbon is between
","A. 1.15 m - 1.25 m
B. 1.25 m - 1.35 m
C. 1.50 m - 1.60 m
D. 1.60 m - 1.70 m
","The folded ribbon lies between 2 cm and 28 cm. So its length is the distance between 28 cm and 2 cm. It can be about (28-2) = 26 cm. The length of folded ribbon is nearly 26 cm.
The total length of ribbon is about 5×26 cm = 130 cm = 1.30 m. (100 cm = 1 m)
So, the length of the ribbon is 1.25 m-1.35 m.
",Q. 4,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-piece-of-ribbon-folded-five-times-is-placed-along-a-30-cm-i-1nknck,10. Motion and Measurement of Distances,Multiple Choice Question
"Paheli moves on a straight road from point A to point C. She takes 20 minutes to cover a certain distance AB and 30 minutes to cover the rest of distance BC. She then turns back and takes 30 minutes to cover the distance CB and 20 minutes to cover the rest of the distance to her starting point. She makes 5 rounds on the road the same way. Paheli concludes that her motion is
","A. only rectilinear motion.
B. only periodic motion.
C. rectilinear and periodic both.
D. neither rectilinear nor periodic.
","<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460799607571.png""/></p>
The time taken by Paheli to travel same distance is constant from A to B and B to C. So, she is moving
She returns to the same point B and A after fixed interval of time. So, her motion is periodic.
Tip:
A periodic motion repeats after a fixed interval of time.
Paheli is travelling in a straight line along ABC. So, her motion is rectilinear too.
Tip:
A body in rectilinear motion travels along a straight path.
",Q. 5,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-moves-on-a-straight-road-from-point-a-to-point-c-she-i-1nkncl,10. Motion and Measurement of Distances,Multiple Choice Question
"Bholu and Golu are playing in a ground. They start running from the same point A in the ground and reach point B at the same time by following the paths marked 1 and 2 respectively as shown in Fig. 10.3. Which of the following is/are true for the given situation.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460800319753.png""/></p>
As compared to Golu, Bholu covers a
","A. longer distance but with a lower speed.
B. longer distance with a higher speed.
C. shorter distance with a lower speed.
D. shorter distance with a higher speed.
","Tip
: The sum of two sides of a triangle is always greater than the third side.
This means that the distance along path 1 is more than path 2.
Bholu travels along two sides of the triangle (path 1). Golu travels along only one side of the triangle (path 2). So, Bholu travels longer distance than Golu.
Both reach at the same time. To cover a longer distance in same time as Golu, Bholu needs faster speed for running. So, Bholu travels at higher speed than Golu.
",Q. 6,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/bholu-and-golu-are-playing-in-a-ground-they-start-running-i-1nkncm,10. Motion and Measurement of Distances,Multiple Choice Question
"Four pieces of wooden sticks A,B,C and D are placed along the length of 30 cm long scale as shown in Fig. 10.4. Which one of them is 3.4 cm in length?
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460801188956.png""/></p>
","A. A
B. B
C. C
D. D
","Using:
length of a stick = Final reading of scale- Initial reading of scale
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460801917790.png""/></p>
",Q. 7,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/four-pieces-of-wooden-sticks-a-b-c-and-d-are-placed-along-i-1nkncn,10. Motion and Measurement of Distances,Multiple Choice Question
"Which of the following figure shows the correct placement of a block along a scale for measuring its length?
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460802606449.png""/></p>
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460803580150.png""/></p>
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460804535570.png""/></p>
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460805481876.jpg""/></p>
","A. Figure (a)
B. Figure (b)
C. Figure (c)
D. Figure (d)
","For the correct placement of the block, both the ends of the block should be on the marked side of the scale. The side of the block to be measured should be parallel to the scale. Thus (c) is the correct option which fulfills both the conditions.
",Q. 8,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-figure-shows-the-correct-placement-of-i-1nknco,10. Motion and Measurement of Distances,Multiple Choice Question
"You are provided three scales A, B and C as shown in Fig. 10.6 to measure a length of 10 cm.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460806196551.jpg""/></p>
For the correct measurement of the length you will use the scale
","A. A only
B. B only
C. C only
D. Any of the three scales
","To measure a distance of 10 cm, the length of undamaged scale should be greater than or equal to 10 cm. All the scales given above are not damaged for less than 12 cm. So all can be used.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460807165555.png""/></p>
",Q. 9,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/you-are-provided-three-scales-a-b-and-c-as-shown-in-fig-10-6-i-1nkncp,10. Motion and Measurement of Distances,Multiple Choice Question
"Correct the following.
(i) The motion of a swing is an example of rectilinear motion.
(ii) 1m = 1000 cm
",NA,"(a) The motion of a swing is an example of periodic motion.
The to and fro motion of the swing makes it periodic.
(b) 1 m = 100 cm
",Q. 10,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/correct-the-following-i-the-motion-of-a-swing-is-an-example-i-1nkncq,10. Motion and Measurement of Distances,Very Short Answer Question
"Fill in the blanks
(i) Motion of an object or a part of it around a fixed point is known as ................ motion.
(ii) A body repeating its motion after certain interval of time is in ........... motion.
(iii) In rectilinear motion, object moves........... a ............ line.
(iv) SI unit of length is ............
",NA,"(i) Motion of an object or a part of it around a fixed point is known as circular. motion.
(ii) A body repeating its motion after certain interval of time is in periodic motion.
(iii) In rectilinear motion, object moves along. a straight line
(iv) SI unit of length is m.
",Q. 11,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/fill-in-the-blanks-i-motion-of-an-object-or-a-part-of-it-i-1nkncr,10. Motion and Measurement of Distances,Very Short Answer Question
"Write one example for each of the following type of motion.
(i) Rectilinear
(ii) Circular
(iii) Periodic
(iv) Circular and periodic
",NA,"I. Rectilinear: A car moving in straight line
II. Circular: The blades of a fan
III. Periodic: The motion of a swing
IV. Circular and periodic: Tip of minute hand of clock
",Q. 12,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/write-one-example-for-each-of-the-following-type-of-motion-i-i-1nkncs,10. Motion and Measurement of Distances,Very Short Answer Question
"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460807868152.png""/></p>
The photograph given as Fig. 10.7 shows a section of a grille made up of straight and curved iron bars. How would you measure the length of the bars of this section, so that the payment could be made to the contractor?
",NA,"The grill has both straight and curved rods.
The straight rods are measured with a measuring tape while the curved rods can be measured using a thread. The thread is kept along the curved rods and marked to measure it with tape.
",Q. 13,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/the-photograph-given-as-fig-10-7-shows-a-section-of-a-grille-i-1nknct,10. Motion and Measurement of Distances,Short Answer Questions
"Identify the different types of motion in the following word diagram given as Fig. 10.8.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460808553820.png""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460809451945.png""/></p>
",Q. 14,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/identify-the-different-types-of-motion-in-the-following-word-i-1nkncu,10. Motion and Measurement of Distances,Short Answer Questions
"Four children measure the length of a table which was about 2 m. Each of them used different ways to measure it.
(i) Sam measured it with a half metre long thread.
(ii) Gurmeet measured it with a 15 cm scale from her geometry box.
(iii) Reena measured it using her hand span.
(iv) Salim measured it using a 5 m long measuring tape.
Which one of them would get the most accurate length? Give reason for your answer.
",NA,"Saleem will get the most accurate measurement because he has used a standard instrument to measure the table. The length of the table is 2 m which is more close to the measuring tape readings. So, he doesn’t have to take too many readings like he had to when using 15 cm scale or half a metre thread.
The standard instrument will male it better choice than hand span.
",Q. 15,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/four-children-measure-the-length-of-a-table-which-was-about-i-1nkncv,10. Motion and Measurement of Distances,Short Answer Questions
"Match the events related to motion in Column I with the types of motions given in Column II.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460810406539.png""/></p>
",NA,"(a) – (ii)
(b) – (i)
(c) – (iii)
(a) The wheel of a sewing machine rotates to do rotational motion. It has fixed axis for rotational motion.
(b) The tip of minute hand rotates around the clock fixed at one end performing circular motion.
(c) A moving swing moves to and fro to do periodic motion.
",Q. 16,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/match-the-events-related-to-motion-in-column-i-with-the-i-1nkncw,10. Motion and Measurement of Distances,Short Answer Questions
"While travelling in a train, it appears that the trees near the track are moving whereas co-passengers appear to be stationary. Explain the reason.
",NA,"When there is relative motion between two bodies, each body seems to be moving at a different speed when seen from other body.
For the above condition, there is relative motion between the trees and the train. So when the train moves, the trees near the track too seem to move in opposite direction.
There is no relative motion between the train and the co-passengers. So, they appear to be stationary.
",Q. 17,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/while-travelling-in-a-train-it-appears-that-the-trees-near-i-1nkncx,10. Motion and Measurement of Distances,Long Answer Questions
"How are the motions of a wheel of a moving bicycle and a mark on the blade of a moving electric fan different? Explain.
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460811118180.png""/></p>
",Q. 18,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/how-are-the-motions-of-a-wheel-of-a-moving-bicycle-and-a-i-1nkncy,10. Motion and Measurement of Distances,Long Answer Questions
"Three students measured the length of a corridor and reported their measurements. The values of their measurements were different. What could be the reason for difference in their measurements? (Mention any three)
",NA,"All the measurements that we do have errors. We cannot remove errors completely but reduce it.
There can be three main causes of errors in measurement:
● Defect in instrument can lead to error in measurement. Different instruments can have little differences. So, they can cause errors.
● Incorrect method of measurement: They may not have followed the correct methods of measurement like keeping eyes in straight line to the measuring point.
● Use of different scales: They might have used different scales. So they could have different readings.
",Q. 19,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/three-students-measured-the-length-of-a-corridor-and-i-1nkncz,10. Motion and Measurement of Distances,Long Answer Questions
"Boojho was riding in his bicycle along a straight road. He classified the motion of various parts of the bicycle as (i) rectilinear motion, (ii) circular motion and (iii) both rectilinear as well as circular motion. Can you list one part of the bicycle for each type of motion? Support your answer with reason.
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18978/1531460811814854.png""/></p>
",Q. 20,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/boojho-was-riding-in-his-bicycle-along-a-straight-road-he-i-1nknd0,10. Motion and Measurement of Distances,Long Answer Questions
"Observe the picture given in Fig. 11.1 carefully.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/153146123366851.png""/></p>
A patch of light is obtained at B, when the torch is lighted as shown. Which of the following is kept at position A to get this patch of light?
","A. A wooden board
B. A glass sheet
C. A mirror
D. A sheet of white paper,
","● Option (a)
:
A wooden board does not reflect the light it blocks the light because it is opaque hence we cannot see the patch of light by placing wooden board in position A. Therefore the option (a) is incorrect.
● Option (b)
:
A glass sheet does not reflect the light it allows light to pass through it because it is transparent hence we cannot see the patch of light by placing glass sheet in position A. Therefore the option (b) is incorrect.
● Option (c)
:
A mirror reflect the light and the direction of light changes when it falls on the mirror hence we can see the patch of light by placing mirror in position A. Therefore the option (c) is correct.
● Option (d)
:
A sheet of white paper does not reflect the light hence we cannot see the patch of light by placing wooden board in position A. Therefore the option (d) is incorrect.
",Q. 1,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/observe-the-picture-given-in-fig-11-1-carefully-a-patch-of-i-1nknd1,11. Light,Multiple Choice Question
"A student observes a tree given in Fig. 11.2 through a pin hole camera. Which of the diagrams given in Fig. 11.3 (a) to (d), depicts the image seen by her correctly?
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461234516348.png""/></p>
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461235198881.png""/></p>
","A. Figure (a)
B. Figure (b)
C. Figure (c)
D. Figure (d)
","The image formed by pin hole camera is inverted and left - right reversed.
● Option (a)
:
the image is not inverted. Hence option (a) is incorrect.
● Option (b)
:
the image is inverted and left – right reversed. Therefore the option (b) is correct.
● Option (c)
:
the image is not inverted. Therefore the option (c) is not correct.
● Option (d)
:
the image is inverted but not left – right reversed. Therefore the option (d) is incorrect.
",Q. 2,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-student-observes-a-tree-given-in-fig-11-2-through-a-pin-i-1nknd2,11. Light,Multiple Choice Question
"Four students A, B, C and D looked through pipes of different shapes to see a candle flame as shown in Fig. 11.4.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461236065788.png""/></p>
Who will be able to see the candle flame clearly?
","A. A
B. B
C. C
D. D
","● Option (a)
:
the tube in option (a) is not straight. Therefore we will not be able to see the candle flame clearly.
● Option (b)
:
the tube in the given option is curved. Therefore we will not be able to see the candle flame clearly. Hence the option (b) is incorrect.
● Option (c)
:
the tube in option (c) is bent. Therefore we will not be able to see the candle flame clearly.
● Option (d)
:
the tube in option (a) is straight. Therefore we will be able to see the candle flame clearly. Hence the correct answer is (d)
",Q. 3,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/four-students-a-b-c-and-d-looked-through-pipes-of-different-i-1nknd3,11. Light,Multiple Choice Question
"Which of the following is/are not always necessary to observe a shadow?
","A. Sun
B. Screen
C. Source of light
D. Opaque object
","● Option (a)
:
the sun is not necessary to form a shadow because we can form shadow from some other sources of light also like torch etc. Hence the answer is option (a).
● Option (b)
:
screen is necessary to take the image.
● Option (c)
:
any source of light is necessary to form the shadow like torch, bulb, streetlight etc.
● Option (d)
:
the opaque object is necessary to block the light.
",Q. 4,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-is-are-not-always-necessary-to-i-1nknd4,11. Light,Multiple Choice Question
"Paheli observed the shadow of a tree at 8:00 a.m., 12:00 noon and 3:00 p.m. Which of the following statements is closest to her observation about the shape and size of the shadow?
","A. The shape of the shadow of the tree changes but the size remains the same.
B. The size of the shadow of the tree changes but the shape remains the same.
C. Both the size and shape of the shadow of the tree change.
D. Neither the shape nor the size of the shadow changes.
","with the change in the time the direction of sun also changes hence the direction of source of light changes. Therefore the shape and size of the shadow changes.
● Option (a)
:
above option is not correct because it says that shape of the shadow will change but size will not change.
● Option (b)
:
above option is not correct because it says that size of the tree will change but shape of the shadow will not change.
● Option (c)
:
since both size and shape of the shadow changes. Therefore the option (c) is the correct answer.
● Option (d)
:
above option is not correct because it says that neither size nor shape of the shadow will change.
",Q. 5,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-observed-the-shadow-of-a-tree-at-8-00-a-m-12-00-noon-i-1nknd5,11. Light,Multiple Choice Question
"Which of the following can never form a circular shadow?
","A. A ball
B. A flat disc
C. A shoe box
D. An ice cream cone
","For forming the circular shadow the object should have a circular shape.
● Option (a)
:
A ball is circular in shape hence it can form a circular shadow.
● Option (b)
:
A flat disc is circular in shape hence it can also form a circular shadow.
● Option (c)
:
A shoe box is not circular in shape hence it cannot form a circular shadow. Therefore it is the correct answer.
● Option (d)
:
an ice cream cone is circular in shape hence it can also form a circular shadow.
",Q. 6,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-can-never-form-a-circular-shadow-a-a-i-1nknd6,11. Light,Multiple Choice Question
"Two students while sitting across a table looked down on to its top surface. They noticed that they could see their own and each other’s image. The table top is likely to be made of:
","A. unpolished wood
B. red stone
C. glass sheet
D. wood top covered with cloth
","For the image formation the surface should be reflecting like mirror. Non reflecting or rough surfaces do not form the images.
● Option (a)
:
unpolished wood is non reflecting surface also it is rough and opaque. Hence it will not form the image. Hence it is not correct option.
● Option (b)
:
red stone is rough, opaque and non reflecting surface. Therefore it will not form the image of students. Hence it is incorrect.
● Option (c)
:
glass sheet is smooth and reflecting hence it will form the image of the students and students will be able to see it. Therefore the option (c) is correct answer.
● Option (d)
:
wood top covered with cloth is rough and it is also opaque hence it do not allow light to pass through it hence it will not form the image.
",Q. 7,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/two-students-while-sitting-across-a-table-looked-down-on-to-i-1nknd7,11. Light,Multiple Choice Question
"You have 3 opaque strips with very small holes of different shapes as shown in Fig. 11.5. If you obtain an image of the sun on a wall through these holes, will the image formed by these holes be the same or different?
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461237767923.png""/></p>
",NA,"The same small circular image of the sun will be obtained in all the three cases because the small holes in the strips will act as a pinhole camera irrespective of their shapes. Also, as the light moves in the straight line, therefore the image of the sun will be same in all the cases. Diagram below shows the image that will be obtained.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461238490713.png""/></p>
",Q. 8,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/you-have-3-opaque-strips-with-very-small-holes-of-different-i-1nknd8,11. Light,Very Short Answer Question
"Observe the picture given in Fig. 11.6. A sheet of some material is placed at position ‘P’, still the patch of light is obtained on the screen. What is the type of material of this sheet?
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461240050852.png""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461241215795.png""/></p>
",Q. 9,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/observe-the-picture-given-in-fig-11-6-a-sheet-of-some-i-1nknd9,11. Light,Very Short Answer Question
"Three torches A, B and C shown in Fig. 11.7 are switched on one by one. The light from which of the torches will not form a shadow of the ball on the screen.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461242627133.png""/></p>
",NA,"The light from the torch “C” will not form a shadow on the screen because the light always travels in the straight line due to which the light from “C” will go downward. Also the shadow is formed on the path from which the light is coming but there is no screen (Or opaque object) on downside to take the shadow, hence we will not get shadow from the torch “C”.
",Q. 10,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/three-torches-a-b-and-c-shown-in-fig-11-7-are-switched-on-i-1nknda,11. Light,Very Short Answer Question
"Look at the figure given in Fig. 11.8.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461243340714.png""/></p>
Will there be any difference in the shadow formed on the screen in A and B.
",NA,No there will not be any difference in the shadow because the size and shape of the shadow depends on the size and shape of the opaque object (metal bowl). Since the same metal bowl is used in the case A and B therefore the shadow will be same in both the cases.,Q. 11,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/look-at-the-figure-given-in-fig-11-8-will-there-be-any-i-1nkndb,11. Light,Very Short Answer Question
"Correct the following statements.
(i) The color of the shadow of an object depends on its colour of the object.
(ii) Transparent objects allow light to pass through them partially.
",NA,":
The color of the shadow of an object does not depend on its color of the object.
Shadow is always black in color because shadow is formed when an opaque object absorbs all the light falling from the light source due to which no light is reflected and it looks black.
(ii)
Correct Statement
:
Transparent objects allows most of the light to pass through them OR Translucent objects allows light to pass through them partially.
Transparent objects are the objects which allow most of the light to pass through them without disturbing the path of the light.
",Q. 12,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/correct-the-following-statements-i-the-color-of-the-shadow-i-1nkndc,11. Light,Short Answer Questions
"Suggest a situation where we obtain more than one shadow of an object at a time.
",NA,":
during a football match we see many shadows of the single player
because of the light falling on the players from various light sources present in the ground.
The figure below shows multiple shadows.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/153146124428451.png""/></p>
",Q. 13,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/suggest-a-situation-where-we-obtain-more-than-one-shadow-of-i-1nkndd,11. Light,Short Answer Questions
"On a sunny day, does a bird or an aero plane flying high in the sky cast its shadow on the ground? Under what circumstances can we see their shadow on the ground?
",NA,"When they are at some lower height or near to the ground than we can see their shadow because ground acts as screen there and we see their shadow the ground. The figure below shows the shadow of bird flying near to the ground.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461245190177.png""/></p>
",Q. 14,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/on-a-sunny-day-does-a-bird-or-an-aero-plane-flying-high-in-i-1nknde,11. Light,Short Answer Questions
"You are given a transparent glass sheet. Suggest any two ways to make it translucent without breaking it.
",NA,"1. By applying an oil, ghee, butter on it (this will allow the light to partially pass through the glass sheet).
2. Rubbing the surface of the glass by some materials like (sandpaper). This will make the glass sheet rough and light will pass through it partially.
",Q. 15,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/you-are-given-a-transparent-glass-sheet-suggest-any-two-ways-i-1nkndf,11. Light,Short Answer Questions
"A torch is placed at two different positions A and B, one by one, as shown in Fig. 11.9.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461246321734.png""/></p>
The shape of the shadow obtained in two positions is shown in Fig. 11.10.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461247288188.png""/></p>
Match the position of the torch and shape of the shadow of the ball.
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461248005734.png""/></p>
The position “B” will form the shadow ‘b’ as shown in the figure below.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461248691162.png""/></p>
The size of the shadow is bigger in ‘a’ because the screen, torch, and the ball are in the same straight line in “A”. Whereas in “B” the torch is not in line with ball and screen.
",Q. 16,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-torch-is-placed-at-two-different-positions-a-and-b-one-by-i-1nkndg,11. Light,Short Answer Questions
"A student covered a torch with red cellophane sheet to obtain red light. Using the red light she obtains a shadow of an opaque object. She repeats this activity with green and blue light. Will the colour of the light affect the shadow? Explain.
",NA,No the color of the light will not affect the shadow because .Shadow is the dark patch formed when an object obstructs the path of the light. Hence no light reaches in the shadow region; due to which the color of the shadow is black. Hence the color of light will not affect the shadow color because light is obstructed by an opaque object.,Q. 17,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-student-covered-a-torch-with-red-cellophane-sheet-to-i-1nkndh,11. Light,Short Answer Questions
"Is air around us always transparent? Discuss.
",NA,"The figure below shows the air mixed with smoke which makes it translucent we are not able to see buildings clearly.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461249406163.png""/></p>
",Q. 18,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/is-air-around-us-always-transparent-discuss-i-1nkndi,11. Light,Short Answer Questions
"Three identical towels of red, blue and green color are hanging on a clothes line in the sun. What would be the color of shadows of these towels?
",NA,,Q. 19,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/three-identical-towels-of-red-blue-and-green-color-are-i-1nkndj,11. Light,Short Answer Questions
"Using a pinhole camera a student observes the image of two of his friends, standing in sunlight, wearing yellow and red shirt respectively. What will be the colors of the shirts in the image?
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461251438353.png""/></p>
",Q. 20,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/using-a-pinhole-camera-a-student-observes-the-image-of-two-i-1nkndk,11. Light,Short Answer Questions
"In Fig. 11.11, a flower made of thick coloured paper has been pasted on the transparent glass sheet. What will be the shape and colour of shadow seen on the screen?
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461252355518.jpg""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461253000881.png""/></p>
",Q. 21,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/in-fig-11-11-a-flower-made-of-thick-coloured-paper-has-been-i-1nkndl,11. Light,Short Answer Questions
"A football match is being played at night in a stadium with flood lights ON. You can see the shadow of a football kept at the ground but cannot see its shadow when it is kicked high in the air. Explain.
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461253960549.png""/></p>
When the football is kicked in the air the ground which is acting as the screen is very far away hence no shadow is formed because there is no screen on which we can see the shadow.
",Q. 22,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-football-match-is-being-played-at-night-in-a-stadium-with-i-1nkndm,11. Light,Long Answer Questions
"A student had a ball, a screen and a torch in working condition. He tried to form a shadow of the ball on the screen by placing them at different positions. Sometimes the shadow was not obtained. Explain.
",NA,"1. When the screen is placed far away from the ball than he cannot get shadow on the screen.
2. The beam of light from the torch is falling parallel to the screen on the ball due to which the ball is not able to obstruct the whole light from the torch and shadow is not obtained.
3. The torch is kept away from the ball. This makes the source of light far away hence the sufficient light is not reached to the ball.
An accurate shadow of the ball will be formed only when the ball, torch, and screen are in the same straight line. The figure below shows the arrangement.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18979/1531461255626917.png""/></p>
",Q. 23,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-student-had-a-ball-a-screen-and-a-torch-in-working-i-1nkndn,11. Light,Long Answer Questions
